"address_mesh_block_2011_pid","address_detail_pid","mesh_block_pid","date_created","mb_match_code"
"ACT57533425","GAACT718763866","80036981000","2015-02-06","1"
"ACT57532533","GAACT718761900","80036961000","2015-02-06","1"
"ACT57533458","GAACT718763899","80055620000","2015-02-06","1"
"ACT57532307","GAACT718761674","80037870000","2015-02-06","1"
"ACT57532730","GAACT718762097","80052300000","2015-02-06","1"
"ACT57533038","GAACT718762405","80036961000","2015-02-06","1"
"ACT57533409","GAACT718763850","80036981000","2015-02-06","1"
"ACT57532660","GAACT718762027","80019961100","2015-02-06","1"
"ACT57532769","GAACT718762136","80052300000","2015-02-06","1"
"ACT57532964","GAACT718762331","80019979100","2015-02-06","1"
